Time(IST),prs(m)
2024-01-05 16:30:00+05:30,0.9281049430697655
2024-01-05 17:30:00+05:30,0.8717832019109452
2024-01-05 18:30:00+05:30,0.8044871468456894
2024-01-05 19:30:00+05:30,0.7452723291938289
2024-01-05 20:30:00+05:30,0.7102054957977799
2024-01-05 21:30:00+05:30,0.7084414052494498
2024-01-05 22:30:00+05:30,0.7399301020094631
2024-01-05 23:30:00+05:30,0.7953160849360832
2024-01-06 00:30:00+05:30,0.8580965081162016
2024-01-06 01:30:00+05:30,0.9085830845593794
2024-01-06 02:30:00+05:30,0.9287790962542383
2024-01-06 03:30:00+05:30,0.9070405982756318
2024-01-06 04:30:00+05:30,0.8414021910752189
2024-01-06 05:30:00+05:30,0.740720127633124
2024-01-06 06:30:00+05:30,0.6232668550653021
2024-01-06 07:30:00+05:30,0.5129983548415838
2024-01-06 08:30:00+05:30,0.4342760738737994
2024-01-06 09:30:00+05:30,0.40622564182318466
2024-01-06 10:30:00+05:30,0.438052636245443
2024-01-06 11:30:00+05:30,0.5264659536100214
2024-01-06 12:30:00+05:30,0.6559074340764314
2024-01-06 13:30:00+05:30,0.8016468115522527
2024-01-06 14:30:00+05:30,0.9351185420385038
2024-01-06 15:30:00+05:30,1.0303143315238077
2024-01-06 16:30:00+05:30,1.0697443894473144
2024-01-06 17:30:00+05:30,1.0485272212154515
2024-01-06 18:30:00+05:30,0.9755670846130271
2024-01-06 19:30:00+05:30,0.8714486271240107
2024-01-06 20:30:00+05:30,0.7634672919508307
2024-01-06 21:30:00+05:30,0.6789324831135584
2024-01-06 22:30:00+05:30,0.638347116849601
2024-01-06 23:30:00+05:30,0.6501548738169469
2024-01-07 00:30:00+05:30,0.7084165736905088
2024-01-07 01:30:00+05:30,0.7940937346827186
2024-01-07 02:30:00+05:30,0.8797364165470624
2024-01-07 03:30:00+05:30,0.9365066818430179
2024-01-07 04:30:00+05:30,0.941837162883795
2024-01-07 05:30:00+05:30,0.8857958108893129
2024-01-07 06:30:00+05:30,0.7744779259432176
2024-01-07 07:30:00+05:30,0.629432057432415
